title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
Making Our Way Home: The Great Migration and the Black American Dream,"January 14, 2020",Blair Imani,Nonfiction,4.28,411,192,946,English,49,"2,114"
Uncanny Valley,"January 14, 2020",Anna Wiener,Nonfiction,3.64,"34,184",281,946,English,"2,771",59.3k
Brave Like That,"June 2, 2020",Lindsey Stoddard,Middle Grade,4.36,"1,252",272,946,English,60,"3,375"
The Wrong Family,"December 29, 2020",Tarryn Fisher,Thriller,3.47,"75,147",336,946,English,"6,011",77.5k
Great Falls Rogue,"February 9, 2020",Alex Lidell,Reverse Harem,4.16,"2,219",268,946,English,"1,127","1,030"
There Is No Antimemetics Division,"August 8, 2020",qntm,Science Fiction,4.24,"9,058",227,946,English,"1,163",15.3k
"Hollywood Double Agent: The True Tale of Boris Morros, Film Producer Turned Cold War Spy","April 7, 2020",Jonathan Gill,Biography,3.04,48,336,946,English,9,"1,531"
An Autobiography of the Autobiography of Reading,"January 28, 2020",Dionne Brand,Nonfiction,4.26,81,72,946,English,5,230
My Midnight Moonlight Valentine,"May 1, 2020",J.J. McAvoy,Paranormal,4.2,729,,946,English,153,"1,037"
Elatsoe,"August 25, 2020",Darcie Little Badger,Fantasy,4,"21,241",368,946,English,46,
Plain Bad Heroines,"October 20, 2020",Emily M. Danforth,Horror,3.65,"26,824",640,946,English,"2,696",113k
"Black Wave: Saudi Arabia, Iran, and the Forty-Year Rivalry That Unraveled Culture, Religion, and Collective Memory in the Middle East","January 1, 2020",Kim Ghattas,History,4.4,"4,893",400,946,English,"1,367",14.3k
Laid Bare,"August 9, 2020",Anna Stone,Romance,3.92,566,110,946,English,10,460
"Here for It; Or, How to Save Your Soul in America: Essays","February 18, 2020",R. Eric Thomas,Nonfiction,4.03,"13,040",264,981,English,"1,197","7,576"
Hunting for a Highlander,"January 28, 2020",Lynsay Sands,Historical Romance,4.07,"4,666",384,981,English,801,"3,637"
Winter Counts,"August 25, 2020",David Heska Wanbli Weiden,Mystery,3.84,"22,044",325,981,English,"1,632",44.5k
Cruel Temptation,"July 13, 2020",Kelli Callahan,Dark,3.99,419,257,981,,464,329
Love Lessons,"August 31, 2020",J.E. Rowney,,4.29,82,Kindle,981,English,13,45
Complicate Me: Reid & Sienna #1,"July 8, 2020",Claire Raye,Romance,3.89,573,306,981,English,539,"1,031"
Notes on a Silencing: A Memoir,"July 7, 2020",Lacy Crawford,Memoir,4.25,"8,998",400,981,English,732,40.3k
Trust,"October 6, 2020",Chris Hammer,Crime,4.05,"7,527",480,981,English,401,"2,815"
How to Stay Sane in an Age of Division,"August 1, 2020",Elif Shafak,Nonfiction,3.99,"7,138",96,981,English,312,"9,190"
Juice Like Wounds,"July 13, 2020",Seanan McGuire,Fantasy,4.02,"3,219",32,981,English,40,"7,415"
Machine,"October 8, 2020",Elizabeth Bear,Science Fiction,3.92,"2,756",485,981,English,384,"4,534"
The Historians,"November 3, 2020",Cecilia Ekbäck,Historical Fiction,3.77,"2,898",464,981,English,418,"8,770"
Wagnerism: Art and Politics in the Shadow of Music,"September 15, 2020",Alex Ross,Music,4.18,"1,135",784,981,English,542,"5,873"
The Stone Girl,"June 16, 2020",Dirk Wittenborn,Thriller,4.17,"1,014",480,981,English,457,"2,707"
The Deficit Myth: Modern Monetary Theory and the Birth of the People's Economy,"June 9, 2020",Stephanie Kelton,Economics,4.04,"8,894",327,981,English,"2,685",20.9k
Topics of Conversation,"January 7, 2020",Miranda Popkey,Fiction,2.82,"9,436",224,981,English,709,18.8k
Rainbow Milk,"April 23, 2020",Paul Mendez,Fiction,3.87,"6,694",336,981,English,381,21.6k
South of the Buttonwood Tree,"July 21, 2020",Heather Webber,Magical Realism,4.29,"12,175",320,981,English,"1,193",15k
Mellan djävulen och havet,"January 20, 2020",Maria Adolfsson,Crime,3.99,"1,864",400,981,Swedish,62,349
Disability Visibility: First-Person Stories from the Twenty-first Century,"June 30, 2020",Alice Wong,Nonfiction,4.46,"15,591",309,981,English,"1,963",45.4k
Please Don't Hug Me,"May 1, 2020",Kay Kerr,Young Adult,4,710,288,981,English,41,"2,871"
Two Reasons to Run,"September 8, 2020",Colleen Coble,Christian Fiction,4.17,"5,841",352,1002,English,730,"4,856"
Sad Janet,"June 16, 2020",Lucie Britsch,Fiction,3.32,"2,599",288,1002,English,266,"6,467"
The Bright Lands,"July 7, 2020",John Fram,Horror,3.41,"4,546",480,1002,English,285,24.6k
Billion Dollar Enemy,"September 5, 2020",Olivia Hayle,Romance,4.17,"10,356",303,1002,,"3,786","4,089"
Cruel Infatuation,"September 24, 2020",Kelli Callahan,,4.42,133,207,1002,English,107,124
The Pining,"July 2, 2020",Sarina Dorie,,4.67,9,29,1002,English,12,
Hammer,"August 6, 2020",Dani Wyatt,Romance,4.19,421,111,1002,English,241,184
Complete Me: Reid & Sienna #2,"July 22, 2020",Claire Raye,Romance,4.08,249,289,1002,English,73,288
A Libertarian Walks Into a Bear: The Utopian Plot to Liberate an American Town,"September 15, 2020",Matthew Hongoltz-Hetling,Nonfiction,3.82,"5,088",305,1002,English,646,"7,481"
More Than Just a Pretty Face,"August 4, 2020",Syed M. Masood,Romance,4.05,"3,270",352,1002,English,151,13.4k
Gentle and Lowly: The Heart of Christ for Sinners and Sufferers,"April 1, 2020",Dane C. Ortlund,Christian,4.52,"48,384",224,1002,English,11.9k,53.9k
Seeds And Stems,"August 11, 2020",Simon Hanselmann,Comics,4.2,913,360,1002,English,29,511
Wij zijn licht,"April 23, 2020",Gerda Blees,Fiction,3.69,"3,480",224,1002,Dutch; Flemish,64,"3,575"
"Bland Fanatics: Liberals, the West, and the Afterlives of Empire","July 28, 2020",Pankaj Mishra,Politics,3.88,478,218,1002,English,85,"1,793"
Twilight of Democracy: The Seductive Lure of Authoritarianism,"July 21, 2020",Anne Applebaum,Politics,3.91,"15,215",224,1002,English,"2,823",22.4k
"Three Tigers, One Mountain: A Journey Through the Bitter History and Current Conflicts of China, Korea, and Japan","January 16, 2020",Michael Booth,Nonfiction,3.9,"1,747",336,1002,English,247,"4,243"
Send Me Crazy,"February 7, 2020",T. Gephart,Romance,3.98,578,258,1002,English,86,777
An Appalachian Summer,"June 30, 2020",Ann H. Gabhart,Historical Fiction,3.99,"1,191",368,1002,English,207,"4,366"
A Touch of Ruin,"April 22, 2020",Scarlett St. Clair,Fantasy,3.8,"1,68,170",417,1002,English,11.4k,142k
A Good Marriage,"May 5, 2020",Kimberly McCreight,Thriller,3.9,"58,312",410,1002,English,"6,737",59.6k
Jeg foreslår at vi våkner,"January 1, 2020",Beate Grimsrud,Fiction,3.49,370,534,1002,"Bokmål, Norwegian; Norwegian Bokmål",67,653
A Guarded Life: My story of the dark side of An Garda Síochána,"September 3, 2020",Majella Moynihan,,4.37,542,285,1002,English,24,224
Lote,"March 25, 2020",Shola von Reinhold,Fiction,4.08,"1,598",460,1002,English,159,"7,688"
The Gran Tour: Travels with my Elders,"September 3, 2020",Ben Aitken,Travel,3.76,965,306,1002,English,70,626
Swimming Lessons: Poems,"September 29, 2020",Lili Reinhart,Poetry,3.62,"15,983",240,1002,English,568,18.2k
Iron Heart,"September 8, 2020",Nina Varela,Fantasy,4.24,"24,505",400,1002,English,984,32.8k
Lila and Hadley,"April 7, 2020",Kody Keplinger,Middle Grade,3.97,943,256,1002,English,53,"2,320"
Hearts on Hold,"February 3, 2020",Charish Reid,Romance,3.8,658,448,1002,English,66,"1,203"
To Wake the Giant: A Novel of Pearl Harbor,"May 19, 2020",Jeff Shaara,Historical Fiction,4.43,"3,774",524,1030,English,905,"6,002"
The Silence,"May 19, 2020",Susan Allott,Mystery,3.8,"3,548",367,1030,English,457,"7,322"
Battle Bond,"March 14, 2020",Lindsay Buroker,Urban Fantasy,4.3,"7,254",278,1030,English,"1,888",887
In High Cotton,"August 1, 2020",Ane Mulligan,Historical Fiction,4.57,128,293,1030,English,39,180
Lou in Lockdown,"June 2, 2020",Jojo Moyes,Romance,3.96,"2,649",46,1030,English,57,"8,502"
Not One of These Poems Is About You,"January 7, 2020",Teva Harrison,Poetry,4.11,278,104,1030,English,5,359
"The Lost Family: How DNA Testing Is Uncovering Secrets, Reuniting Relatives, and Upending Who We Are","March 3, 2020",Libby Copeland,Nonfiction,4.01,"2,919",294,1030,English,505,"6,222"
"Wrong Bed, Right Brother","June 15, 2020",Rebecca Brooks,Romance,3.76,334,195,1030,English,36,288
A Cowgirl's Dream,"June 30, 2020",Edith Mackenzie,Contemporary Romance,4.42,237,154,1030,English,285,252
One Last Time: Andino + Haven - A Companion,"April 13, 2020",Bethany-Kris,Romance,4.15,267,124,1030,English,17,202
The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,"October 6, 2020",Roman Mars,Nonfiction,4.03,"6,999",400,1030,English,"2,022",15.5k
Trouble the Saints,"July 21, 2020",Alaya Dawn Johnson,Fantasy,3.37,"1,933",352,1030,English,236,17.1k
The Silence of Bones,"April 21, 2021",June Hur,Historical Fiction,3.82,"6,560",326,1030,English,396,33.3k
Execution in E,"March 24, 2020",Alexia Gordon,Mystery,4,589,262,1030,English,54,476
Apple: Skin to the Core,"October 6, 2020",Eric Gansworth,Poetry,3.78,"2,379",339,1030,B0DN8P2JXB,254,"5,322"
Dream Chaser,"December 15, 2020",Kristen Ashley,Romance,4.15,"7,664",480,1030,English,860,"4,440"
Great Falls Protector,"March 6, 2020",Alex Lidell,Fantasy,4.25,"2,463",302,1030,English,773,977
"Let's Play, Vol. 2","October 1, 2020",Leeanne M. Krecic,Graphic Novels,4.33,"2,121",204,1030,English,29,417
Simon the Fiddler,"April 14, 2020",Paulette Jiles,Historical Fiction,3.84,"11,174",352,1030,English,"1,876",17.9k
Cliënt E. Busken,"February 13, 2020",Jeroen Brouwers,Fiction,3.48,"3,432",257,1030,Dutch; Flemish,180,"2,298"
You are Eating an Orange. You are Naked.,"October 27, 2020",Sheung-King,Fiction,3.82,"1,355",195,1030,English,55,"3,214"
"Eva Evergreen, Semi-Magical Witch","August 4, 2020",Julie Abe,Middle Grade,4.11,"3,798",400,1030,English,220,12.1k
Actress,"March 3, 2020",Anne Enright,Fiction,3.44,"6,586",265,1030,English,957,13.2k
Rules for Being a Girl,"April 7, 2020",Candace Bushnell,Young Adult,3.97,"8,066",304,1053,English,254,17.7k
Black Girl Unlimited,"January 14, 2020",Echo Brown,Fantasy,4.32,"4,490",304,1053,English,242,19.5k
The Last Sister,"January 14, 2020",Kendra Elliot,Mystery,4.1,"60,215",328,1053,English,37.8k,32.9k
Elven Doom,"May 16, 2020",Lindsay Buroker,Urban Fantasy,4.41,"7,356",332,1053,English,"1,392",860
Island Affair,"April 28, 2020",Priscilla Oliveras,Romance,3.47,"8,271",283,1053,English,911,23.7k
Minutes to Die,"August 4, 2020",Susan Sleeman,Suspense,4.29,579,384,1053,English,78,415
Cynetic Wolf,"March 26, 2020",Matt Ward,Dystopia,3.97,118,342,1053,English,61,200
The Enforcer Enigma,"August 1, 2020",G.L. Carriger,Romance,4.13,"1,653",296,1053,English,153,788
Killian,"April 21, 2020",Olivia T. Turner,Romance,4.15,942,93,1053,English,469,344
Good Citizens Need Not Fear: Stories,"March 10, 2020",Maria Reva,Short Stories,3.81,"1,762",212,1053,English,101,"6,919"
Phoenix Extravagant,"October 15, 2020",Yoon Ha Lee,Fantasy,3.67,"3,103",346,1053,English,188,"9,760"
Hard to Handle,"June 30, 2020",K. Bromberg,Sports Romance,4.11,"9,919",362,1053,English,"1,530",12.3k
Plague of Corruption: Restoring Faith in the Promise of Science,"14, 2020",Kent Heckenlively,Science,4.25,"1,332",336,1053,English,"2,319","2,623"
The Player Next Door,"June 16, 2020",K.A. Tucker,Romance,3.8,"16,307",367,1053,B08GWPVYFM,"2,932",16.4k
Home Making,"February 18, 2020",Lee Matalone,Fiction,3.24,327,208,1053,English,43,"2,371"
Chasing Cassandra,"February 18, 2020",Lisa Kleypas,Historical Romance,4.14,"31,168",384,1053,English,"2,357",16.3k
Why the Germans Do it Better: Notes from a Grown-Up Country,"September 1, 2020",John Kampfner,Nonfiction,3.96,"3,348",320,1053,English,711,"6,201"
Stranger Faces,"September 29, 2020",Namwali Serpell,Nonfiction,3.76,400,140,1053,English,77,"3,085"
"Death by Shakespeare: Snakebites, Stabbings and Broken Hearts","March 5, 2020",Kathryn Harkup,Nonfiction,3.94,759,368,1053,English,87,"2,058"
The Further Adventures of Sherlock Holmes - The Martian Menace,"February 11, 2020",Eric Brown,Mystery,3.7,80,352,1053,English,9,166
Our Lady of Perpetual Hunger: A Memoir,"August 4, 2020",Lisa Donovan,Memoir,3.93,"2,464",304,1053,English,223,"5,520"
Forever and a Day - A Those Who Wait story,"August 21, 2020",Haley Cass,Romance,4.4,"6,399",107,1053,English,428,"1,854"
Earth Keeper: Reflections on the American Land,"November 3, 2020",N. Scott Momaday,Poetry,4.23,"1,778",80,1053,English,137,"7,259"
Pink,"May 8, 2020",Bethany-Kris,Romance,4.08,477,367,1076,English,52,536
Deathless Divide,"February 4, 2020",Justina Ireland,Historical Fiction,4.15,"11,955",553,1076,English,649,15.2k
Tangled Truths,"April 2, 2020",Lindsay Buroker,Urban Fantasy,4.41,"6,911",266,1076,English,"1,396",794
Hadley Beckett's Next Dish,"May 5, 2020",Bethany Turner,Romance,3.98,"1,486",352,1076,English,115,"4,174"
The Escape,"November 3, 2020",Lisa Harris,Christian Fiction,4.3,"2,104",336,1076,English,256,"3,579"
Snug: A Collection of Comics about Dating Your Best Friend,"February 4, 2020",Catana Chetwynd,Graphic Novels,4.38,"6,935",136,1076,English,162,"6,286"
Last Tang Standing,"June 9, 2020",Lauren Ho,Romance,3.52,"16,994",400,1076,English,"1,476",22.4k
My Ex's Baby,"May 29, 2020",Taryn Quinn,Romance,4.33,"1,642",305,1076,English,"1,393",668
Glass Heart Savage,"April 6, 2020",Lindsey Iler,High School,4.09,"1,528",248,1076,English,887,"3,109"
Depths,"April 23, 2020",Jacque Stevens,Mermaids,4.13,86,212,1076,English,34,987
Conley,"June 26, 2020",Frankie Love,Romance,4.27,607,102,1076,English,259,185
Escape,"May 10, 2020",Heather Renee,Fantasy,4.35,240,242,1076,English,111,177
F*ckface: and Other Stories,"July 14, 2020",Leah Hampton,Short Stories,3.99,979,208,1076,English,95,"5,234"
The Queen of Paris: A Novel of Coco Chanel,"April 7, 2020",Pamela Binnings Ewen,Historical Fiction,4.03,"5,691",360,1076,English,"1,337","9,832"
Break Me,"November 17, 2020",Meagan Brandy,Romance,4.41,"12,610",498,1076,English,"4,085",278
The First Sister,"August 4, 2020",Linden A. Lewis,Science Fiction,3.86,"8,312",352,1076,English,634,51.9k
Monsters Don't Wear Underpants,"August 4, 2020",Isaac Stewart,Childrens,4.5,36,24,1076,English,14,
"Fallout: Nuclear Bribes, Russian Spies, and the Washington Lies that Enriched the Clinton and Biden Dynasties","June 30, 2020",John Solomon,Politics,4.37,188,319,1076,English,431,354
Memorial Drive: A Daughter's Memoir,"July 28, 2020",Natasha Trethewey,Memoir,4.25,"21,917",213,1076,English,"1,755",42.4k
"Enemy of All Mankind: A True Story of Piracy, Power, and History's First Global Manhunt","May 12, 2020",Steven Johnson,History,3.89,"3,916",286,1076,English,916,"7,004"
Stone Princess,"May 5, 2020",Devney Perry,Romance,4.12,"15,475",370,1076,English,"1,885",12.7k
"Moi les hommes, je les déteste","August 19, 2020",Pauline Harmange,Feminism,3.82,"12,738",96,1076,French,429,14.6k
1000 Serpentinen Angst,"March 3, 2020",Olivia Wenzel,Fiction,3.88,"2,330",352,1076,German,125,"6,205"
賭ケグルイ 13,"June 22, 2020",Homura Kawamoto,Manga,4.42,322,221,1076,Japanese,9,302
"Wrong Number, Right Woman","August 22, 2020",Jae,Romance,4.16,"3,381",370,1076,English,261,"3,375"
In the Land of Men: A Memoir,"February 11, 2020",Adrienne Miller,Memoir,3.27,"1,373",340,1101,English,245,"8,278"
Of Curses and Kisses,"February 18, 2020",Sandhya Menon,Romance,3.42,"9,794",384,1101,English,406,29.7k
Drifts,"May 19, 2020",Kate Zambreno,Fiction,3.65,"1,464",336,1101,English,155,"5,658"
Pike,"March 24, 2020",T.M. Frazier,Romance,4.19,"4,062",248,1101,English,741,"4,854"
The New Husband,"April 14, 2020",D.J. Palmer,Thriller,3.79,"14,813",381,1101,English,"1,437",41.9k
False Security,"June 26, 2020",Lindsay Buroker,Urban Fantasy,4.45,"6,473",292,1101,English,"1,412",752
Point of Danger,"October 6, 2020",Irene Hannon,Christian Fiction,4.03,"3,362",384,1101,English,409,"4,838"
"Agent Sonya: Lover, Mother, Soldier, Spy","September 17, 2020",Ben Macintyre,Nonfiction,4.16,"15,361",386,1101,English,"2,576",31k
The New One: Painfully True Stories from a Reluctant Dad,"June 16, 2020",Mike Birbiglia,Nonfiction,4.06,"6,870",256,1101,English,234,16k
I Got You a Present!,"April 7, 2020",Mike Erskine-Kellie,Picture Books,3.68,203,32,1101,English,2,55
Focused,"January 2, 2020",Karla Sorensen,Romance,4,"22,137",276,1101,English,"8,641",15.8k
Secrets of the Past,"June 11, 2020",Sarah Elizabeth,Young Adult,4.13,139,285,1101,English,178,191
Capture,"March 17, 2020",Heather Renee,Fantasy,4.33,345,208,1101,English,151,240
Lady Clementine,"January 7, 2020",Marie Benedict,Historical Fiction,3.84,"29,694",416,1101,English,"8,628",34k
The Girl in the Love Song,"June 1, 2020",Emma Scott,Romance,4.12,"9,120",368,1101,English,"1,881",12.2k
Princess Floralinda and the Forty-flight Tower,"November 30, 2020",Tamsyn Muir,Fantasy,4.18,"7,140",209,1101,English,179,"7,613"
The Year of the Witching,"July 21, 2020",Alexis Henderson,Fantasy,3.81,"41,424",368,1101,English,"2,181",162k
Age of Death,"February 4, 2020",Michael J. Sullivan,Fantasy,4.28,"11,590",432,1101,English,"1,026",10.7k
Countdown to Socialism,"September 15, 2020",Devin Nunes,,4.38,495,96,1101,English,254,337
"Hell in the Heartland: Murder, Meth, and the Case of Two Missing Girls","July 28, 2020",Jax Miller,True Crime,3.69,"2,722",319,1101,English,525,"8,418"
The Year 1000: When Explorers Connected the World—and Globalization Began,"April 14, 2020",Valerie Hansen,History,3.69,"1,720",308,1101,English,478,"3,347"
Came Back Haunted,,Karina Halle,Horror,4.51,647,First,1101,,154,"1,365"
The Bargainer,"October 16, 2020",Laura Thalassa,Fantasy,4.4,"1,402",740,1101,English,95,"4,323"
Her Wicked Marquess,"December 29, 2020",Stacy Reid,Historical Romance,4.18,"6,249",400,1101,English,538,"5,973"
Any Luck at All,"September 22, 2020",Angela R. Casella,Romance,4.17,"2,267",391,1101,English,"2,024","2,956"
Shifting the Silence,"October 27, 2020",Etel Adnan,Poetry,4.23,465,80,1101,English,35,"2,483"
The Anomaly,"August 20, 2020",Hervé Le Tellier,Fiction,3.8,"58,807",391,1101,English,"4,270",48.4k
,,,,,,,1101,,,
Obit,"April 7, 2020",Victoria Chang,Poetry,4.26,"3,842",113,1101,English,285,"9,434"
Hi Five,"January 28, 2020",Joe Ide,Mystery,3.58,"3,687",341,1130,English,574,"2,857"
"The Price of Peace: Money, Democracy, and the Life of John Maynard Keynes","May 19, 2020",Zachary D. Carter,Economics,4.42,"2,921",656,1130,English,"1,048",10.8k
The Secret Women,"June 9, 2020",Sheila Williams,Fiction,3.68,"1,511",304,1130,English,389,"4,978"
Take a Chance on Me,"February 1, 2020",Becky Wade,Romance,4.12,"2,519",142,1130,English,"1,426","1,612"
Smitten,"July 25, 2020",Lauren Rowe,Romance,3.98,"4,326",356,1130,English,"2,364","5,441"
Pawn,"April 28, 2020",T.M. Frazier,Romance,4.14,"2,997",ebook,1130,English,421,"2,158"
Dangerous Deceptions: Christian Romantic Suspense Novels,"October 1, 2020",Lisa Harris,Christian Fiction,4.6,355,1748,1130,English,531,291
The Little Teashop in Tokyo,"June 19, 2020",Julie Caplin,Romance,3.89,"6,657",369,1130,English,640,"5,278"
The Governess,"August 20, 2020",Wendy Holden,Historical Fiction,3.77,"5,312",436,1130,English,655,11.8k
Burning Roses,"September 29, 2020",S.L. Huang,Fantasy,3.7,"2,275",156,1130,English,98,"9,529"
Fearless,"July 28, 2020",Katie Golding,Romance,3.9,127,352,1130,English,11,347
Mr. Gardiner and the Governess,"January 1, 2020",Sally Britton,Romance,4.15,"4,091",228,1130,English,"1,424","2,174"
Don't Look for Me,"September 15, 2020",Wendy Walker,Thriller,3.97,"37,178",342,1130,English,"1,735",58.9k
Samsung Rising: The Inside Story of the South Korean Giant That Set Out to Beat Apple and Conquer Tech,"March 17, 2020",Geoffrey Cain,Business,3.65,"1,534",416,1130,English,336,"2,946"
Lord of London Town,"October 10, 2020",Tillie Cole,Romance,4.12,"10,856",325,1130,English,"1,941",12.6k
The Better Half: On the Genetic Superiority of Women,"April 7, 2020",Sharon Moalem,Nonfiction,3.97,"1,417",288,1130,English,226,"6,788"
"Feminism, Interrupted: Disrupting Power","March 20, 2020",Lola Olufemi,Feminism,4.42,"3,134",148,1130,English,432,14.4k
If She Says Yes,"December 5, 2020",Tasha L. Harrison,Romance,3.93,875,245,1130,English,94,"1,386"
A Lady Compromised,"November 24, 2020",Darcie Wilde,Mystery,3.98,"2,025",352,1130,English,147,651
Lentevuur,"February 4, 2020",Suzanne Vermeer,Thriller,3.13,561,175,1130,Dutch; Flemish,10,220
Un-American: A Soldier's Reckoning of Our Longest War,"May 19, 2020",Erik Edstrom,Nonfiction,4.4,124,288,1150,English,31,354
Nana Akua Goes to School,"June 16, 2020",Tricia Elam Walker,Picture Books,4.48,"1,061",34,1150,English,18,786
Cry Wolf,"March 12, 2020",Jacque Stevens,Fantasy,4.06,131,164,1150,English,68,"1,028"
American Demon,"June 16, 2020",Kim Harrison,Urban Fantasy,4.45,"10,609",473,1150,English,"1,983",11.6k
Backlash,"October 1, 2020",Rachel Dylan,Christian Fiction,4.32,676,320,1150,English,55,332
A Most Beautiful Thing: The True Story of America's First All-Black High School Rowing Team,"May 19, 2020",Arshay Cooper,Nonfiction,4.35,"5,928",240,1150,English,548,"8,517"
The Kingdom,"August 27, 2020",Jo Nesbø,Thriller,3.84,"24,754",560,1150,English,"3,488",11.6k
Best Friends Don't Kiss,"November 26, 2020",Max Monroe,Romance,4.2,"6,859",326,1150,English,"2,334","3,771"
Drowned Country,"August 18, 2020",Emily Tesh,Fantasy,3.97,"9,609",176,1150,English,335,"8,634"
Enter the Aardvark,"March 24, 2020",Jessica Anthony,Fiction,3.62,"2,976",182,1150,English,153,"8,313"
Noble Prince,"November 10, 2020",Devney Perry,Romance,4.23,"12,736",372,1150,English,"1,310","9,294"
Einstein: Die fantastische Reise einer Maus durch Raum und Zeit,"September 18, 2020",Torben Kuhlmann,Picture Books,4.57,594,121,1150,German,9,319
A King so Cold,"May 6, 2020",Ella Fields,Fantasy,3.81,"7,310",431,1150,English,"4,414",14.4k
Goede buren,"June 17, 2020",Mattias Edvardsson,Thriller,3.59,"3,078",384,1150,Dutch; Flemish,45,"1,349"
"The Bomb: Presidents, Generals, and the Secret History of Nuclear War","January 28, 2020",Fred Kaplan,History,4.07,948,384,1164,English,318,"2,317"
Stay with Me,"May 5, 2020",Becky Wade,Christian Fiction,4.23,"3,892",392,1164,English,687,"5,670"
The Cake King,"January 10, 2020",Rosie Chase,Romance,3.4,151,133,1164,English,25,204
Stay the F At Home,"March 1, 2020",Adam Mansbach,Audiobook,4.5,54,1,1164,English,2,122
Night Fall,"November 1, 2020",Susan Sleeman,Christian Fiction,4.48,"1,329",303,1164,English,674,455
The Book Collectors: A Band of Syrian Rebels and the Stories That Carried Them Through a War,"September 19, 2017",Delphine Minoui,Nonfiction,4.12,"2,553",197,1164,English,134,"6,675"
Grave War,"November 24, 2020",Kalayna Price,Urban Fantasy,4.24,"3,059",405,1164,English,281,"2,085"
The Littlest Yak,"January 1, 2020",Lu Fraser,Picture Books,4.35,885,32,1164,English,7,290
The Silence,"October 20, 2020",Don DeLillo,Fiction,2.66,"13,744",117,1164,English,755,17.2k
The Making of a Highlander,"April 14, 2020",Elisa Braden,Historical Romance,4.25,"3,654",412,1164,English,512,"4,008"
Finna,"August 11, 2020",Nate Marshall,Poetry,4.48,"2,294",128,1164,English,101,"8,385"
Chasing Lucky,"June 11, 2020",Jenn Bennett,Romance,3.74,"7,341",406,1164,English,263,17.4k
Three Brothers: Memories of My Family,"January 1, 2009",Yan Lianke,Nonfiction,3.58,188,,1176,English,35,609
A is for Another Rabbit,"April 7, 2020",Hannah Batsel,Picture Books,4.06,321,32,1176,English,66,
The Conference of the Birds,"January 14, 2020",Ransom Riggs,Fantasy,4.09,"31,891",400,1176,English,"1,702",52.6k
A Dangerous Kind of Lady,"July 7, 2020",Mia Vincy,Historical Romance,4.08,"3,085",343,1176,English,232,"2,396"
Butter Honey Pig Bread,"September 15, 2020",Francesca Ekwuyasi,Fiction,4.31,"11,869",368,1176,English,647,22.6k
Runaway Road,"March 6, 2020",Devney Perry,Romance,4.05,"12,276",258,1176,English,"2,412",10.7k
Magic Redeemed,"March 20, 2020",K.M. Shea,Fantasy,4.37,"10,010",284,1176,English,"1,439","1,412"
Can the Monster Speak? A Report to an Academy of Psychoanalysts,"June 10, 2020",Paul B. Preciado,Nonfiction,4.26,"3,422",88,1176,English,208,"5,170"
Mark Rutte,"October 20, 2020",Petra de Koning,Biography,3.6,837,232,1176,Dutch; Flemish,23,337
The Half Sister,"June 16, 2020",Sandie Jones,Thriller,3.56,"16,038",320,1185,English,"1,196",22.8k
The Bank,"March 23, 2020",Bentley Little,Horror,3.73,996,375,1185,English,158,"1,365"
Beach Haven,"April 7, 2020",T.I. Lowe,Romance,3.89,"2,537",320,1185,English,314,"2,390"
The Negotiator,"April 25, 2020",Jessica Gadziala,Romance,4.37,"1,334",256,1185,English,133,523
You Call This Democracy?: How to Fix Our Government and Deliver Power to the People,"March 31, 2020",Elizabeth Rusch,Nonfiction,4.05,297,288,1185,English,35,"1,219"
American Crusade: Our Fight to Stay Free,"May 19, 2020",Pete Hegseth,Politics,4.51,433,352,1185,English,271,"1,274"
Circle Jerk,"June 29, 2020",K.B. Cinder,Romance,4.25,250,226,1185,English,66,117
Horrid,"September 15, 2020",Katrina Leno,Horror,3.55,"15,296",327,1185,English,295,39.5k
The Woman Before Wallis,"July 21, 2020",Bryn Turnbull,Historical Fiction,3.89,"7,935",430,1185,English,875,14.1k
Dancing in the Mosque: An Afghan Mother's Letter to Her Son,"December 1, 2020",Homeira Qaderi,Nonfiction,4.34,"4,041",224,1185,English,487,"8,159"
Little Lies,"November 16, 2020",H. Hunting,Romance,4.05,"18,441",307,1185,English,"3,340",18.2k
Journey to the West: A Long March from Eastern Dream to Western Reality,"December 22, 2020",Biao Wang,Memoir,4.3,143,256,1185,English,5,"1,061"
Ties That Tether,"September 29, 2020",Jane Igharo,Romance,3.78,"12,635",306,1185,English,396,23.6k
The Cold Vanish: Seeking the Missing in North America's Wilderness,"July 7, 2020",Jon Billman,Nonfiction,3.68,"7,565",360,1185,English,707,21.7k
Entitled: How Male Privilege Hurts Women,"August 11, 2020",Kate Manne,Nonfiction,4.21,"5,243",269,1185,English,698,23k
Wintering: The Power of Rest and Retreat in Difficult Times,"February 6, 2020",Katherine May,Nonfiction,3.85,"54,880",241,1185,English,"7,852",99.2k
Wrapped Up in You,"November 16, 2020",Talia Hibbert,Romance,3.56,"6,844",127,1185,English,99,11.4k
Not What I Expected,"December 6, 2020",Jewel E. Ann,Romance,4.11,"4,252",342,1185,English,"1,158","3,251"
Hill Women: Finding Family and a Way Forward in the Appalachian Mountains,"January 7, 2020",Cassie Chambers,Nonfiction,3.96,"7,902",304,1203,English,"1,209",21k
President without a Party: The Life of John Tyler,"May 6, 2020",Christopher J. Leahy,Presidents,4.08,315,706,1203,English,42,527
